1900,163,160,210,318,66,19,12,14,9,159,87,307
1901,292,323,334,248,60,15,10,16,8,148,88,102
1902,309,126,332,144,14,5,12,8,14,127,203,254
1903,180,180,237,315,118,0,0,11,13,42,82,197
1904,279,282,219,200,13,20,8,19,2,91,162,297
1905,204,168,344,307,111,14,14,0,5,136,124,265
1906,343,143,279,283,66,12,4,0,15,146,147,138
1907,180,237,337,150,19,11,8,12,1,157,109,103
1908,311,142,225,294,47,8,0,11,17,83,99,269
1909,161,291,258,190,120,3,6,0,4,114,127,225
1910,212,241,137,282,85,9,9,18,15,165,140,218
1911,164,186,159,218,74,7,14,19,16,167,220,122
1912,314,313,348,147,27,17,10,17,12,74,94,214
1913,322,297,297,233,49,1,19,19,19,173,84,181
1914,126,124,297,181,118,6,4,20,17,99,142,200
1915,318,274,333,105,117,7,1,6,1,47,152,253
1916,112,109,193,136,12,2,5,3,13,124,185,286
1917,279,329,121,123,39,19,12,0,4,35,85,101
1918,131,249,288,307,25,14,6,19,4,100,151,338
1919,206,314,174,183,79,19,13,6,20,180,80,300
1920,194,229,109,270,78,13,13,19,11,135,231,178
1921,194,319,349,284,21,2,6,8,16,139,128,125
1922,171,156,278,291,86,18,11,7,15,177,200,103
1923,217,139,236,295,117,1,15,13,15,98,209,252
1924,345,234,215,171,65,17,2,20,4,154,141,289
1925,213,186,166,107,65,6,3,13,1,149,218,327
1926,250,144,285,316,57,10,6,7,10,179,238,212
1927,305,112,155,275,62,9,2,15,14,165,118,103
1928,144,122,167,222,46,12,1,2,10,147,235,171
1929,209,111,333,278,89,15,0,2,7,70,197,240
1930,209,266,345,166,90,19,3,2,0,107,155,252
1931,265,254,245,328,76,20,17,19,3,122,157,213
1932,206,321,340,349,101,18,20,11,3,132,112,304
1933,142,326,143,258,90,3,2,15,4,81,137,149
1934,178,234,341,275,23,6,5,6,9,124,200,269
1935,204,317,123,227,25,17,15,17,8,177,129,123
1936,265,112,301,115,48,9,16,4,11,139,167,139
1937,317,136,325,194,79,10,1,4,0,35,142,247
1938,114,270,265,195,71,0,19,2,3,145,198,175
1939,331,260,135,278,90,2,14,14,12,97,239,203
1940,236,243,298,105,21,12,6,6,15,66,212,153
1941,331,100,210,277,52,5,11,12,17,162,123,152
1942,276,269,125,143,100,19,4,4,6,34,240,142
1943,165,294,347,111,75,13,18,5,15,151,186,227
1944,187,226,249,137,37,6,18,4,0,67,228,299
1945,328,139,251,229,111,11,9,4,19,119,147,134
1946,189,342,325,129,42,10,14,12,12,142,175,293
1947,134,185,202,187,80,4,13,8,19,159,202,303
1948,201,214,119,205,99,3,0,16,4,71,146,132
1949,343,113,249,111,110,12,11,20,20,63,248,274
1950,165,106,128,195,56,10,19,3,13,113,106,165
1951,285,280,150,158,80,13,4,11,2,117,190,115
1952,179,151,344,268,45,18,1,16,1,141,176,204
1953,260,224,139,280,68,14,0,3,19,78,204,250
1954,270,164,101,248,70,17,1,19,10,77,211,175
1955,167,311,284,238,12,8,9,4,15,130,201,326
1956,161,253,161,296,76,8,2,17,2,160,198,119
1957,281,238,338,205,62,2,5,15,18,97,235,101
1958,104,163,248,273,45,19,19,6,10,171,106,342
1959,223,234,252,106,93,12,19,3,15,74,188,333
1960,314,100,225,231,31,6,3,10,14,73,210,108
1961,107,141,125,112,105,5,20,2,10,113,161,200
1962,318,297,150,216,32,20,16,17,16,170,91,270
1963,335,143,296,221,26,5,6,13,13,87,165,263
1964,181,266,173,306,77,12,2,4,9,42,228,110
1965,160,215,211,137,88,20,9,15,11,153,145,125
1966,303,199,145,240,40,7,11,10,17,167,160,146
1967,227,178,134,182,41,5,14,16,9,60,159,243
1968,113,192,234,224,77,0,9,1,6,177,202,186
1969,247,137,341,259,110,6,14,12,12,120,235,117
1970,104,329,149,119,75,2,11,16,11,72,190,315
1971,194,278,244,338,28,9,13,16,4,158,211,278
1972,277,134,181,323,65,3,3,0,14,160,105,254
1973,192,115,166,243,72,2,11,17,17,131,117,168
1974,332,171,225,333,89,0,17,15,4,105,148,325
1975,121,317,147,204,26,0,8,14,6,123,246,149
1976,194,204,212,191,45,13,17,0,16,59,193,234
1977,199,130,257,168,62,10,18,18,14,174,207,142
1978,273,164,292,231,35,9,15,0,1,143,156,244
1979,172,334,281,240,94,16,11,16,14,160,179,278
1980,319,161,315,206,35,1,12,18,13,48,249,171
1981,205,295,181,165,103,5,14,0,7,66,249,276
1982,272,280,339,198,76,3,14,12,7,127,193,104
1983,168,278,165,127,25,3,6,1,19,103,85,133
1984,106,287,167,342,30,17,0,10,10,34,209,318
1985,311,240,209,350,120,6,17,1,6,179,176,135
1986,216,278,298,196,92,3,20,1,16,33,142,138
1987,112,135,141,183,85,0,0,0,16,96,211,200
1988,234,324,288,332,11,0,16,17,7,119,110,138
1989,195,149,100,263,66,15,1,2,10,38,92,138
1990,145,303,321,256,46,13,16,13,1,151,116,102
1991,330,229,304,169,72,13,19,18,5,111,106,153
1992,266,113,123,190,91,6,14,1,13,32,129,269
1993,231,174,163,153,52,3,16,3,10,86,235,219
1994,247,126,219,289,15,15,0,4,6,144,153,227
1995,255,214,250,307,31,12,6,14,7,175,107,109
1996,110,319,149,340,98,3,0,10,5,34,128,164
1997,118,129,234,195,30,17,11,3,2,137,201,135
1998,296,332,118,332,82,3,7,16,14,166,80,216
1999,123,112,157,305,10,7,10,5,8,166,201,325
2000,313,286,174,193,19,0,7,15,2,116,129,167
2001,280,185,155,305,12,17,17,15,0,60,161,343
2002,219,101,294,280,23,5,9,20,5,117,83,328
2003,226,289,340,230,27,17,0,9,3,90,149,119
2004,142,179,243,173,32,3,20,6,7,133,81,325
2005,265,201,181,154,41,9,19,11,2,87,174,155
2006,117,272,268,347,11,12,15,10,4,99,140,183
2007,115,137,122,309,25,18,18,9,13,134,190,100
2008,219,231,104,288,112,4,15,8,19,80,205,227
2009,277,208,120,263,48,1,13,14,8,44,149,111
2010,215,211,300,332,65,8,3,2,10,122,156,184
2011,238,213,320,232,90,1,3,7,16,173,173,126
2012,335,226,180,338,70,17,12,20,20,38,83,256
2013,276,321,105,190,55,14,17,14,18,66,215,163
2014,236,105,309,200,28,16,10,7,1,69,173,234
2015,138,289,225,327,57,14,19,5,17,157,108,342
2016,151,218,307,242,65,18,5,10,6,94,163,123
2017,119,198,187,202,39,1,17,13,13,164,175,125
2018,212,284,223,144,108,7,18,5,3,61,105,111
2019,258,199,309,229,13,0,13,12,14,135,250,261
2020,217,326,279,122,84,2,5,3,15,90,134,214
